Zone,Population,Sous_alimentation,Production_cereales,Disponibilite_kcal
Afghanistan,30.552,10.6,6350,1871.0
Afrique du Sud,52.776,3.5,14155,2533.0
Albanie,3.173,0.2,703,2203.0
Algérie,39.208,1.6,4914,2915.0
Allemagne,82.727,,47757,2461.0
Angola,21.472,7.4,1663,2221.0
Antigua-et-Barbuda,0.09,,0,1635.0
Arabie saoudite,28.829,2.3,880,2736.0
Argentine,41.446,2.1,51398,2239.0
Arménie,2.977,0.1,545,2140.0
Australie,23.343,,35212,2227.0
Autriche,8.495,,4873,2633.0
Azerbaïdjan,9.413,,2906,2602.0
Bahamas,0.377,,1,1828.0
Bangladesh,156.595,24.2,37103,2345.0
Barbade,0.285,0.05,0,2248.0
Bélarus,9.357,,7232,2411.0
Belgique,11.104,,3099,2562.0
Belize,0.332,0.05,106,2200.0
Bénin,10.323,1.1,1623,2491.0
Bolivie (État plurinational de),10.671,1.9,2356,1790.0
Bosnie-Herzégovine,3.829,,1223,2635.0
Botswana,2.021,0.6,19,1948.0
Brésil,200.362,,97157,2435.0
Brunéi Darussalam,0.418,0.05,1,2343.0
Bulgarie,7.223,0.3,9136,2148.0
Burkina Faso,16.935,3.8,4768,2558.0
Cabo Verde,0.499,0.05,6,2134.0
Cambodge,15.135,2.6,7190,2264.0
Cameroun,22.254,2.4,3024,2542.0
Canada,35.182,,66406,2635.0
Chili,17.62,0.5,3961,2226.0
Chine - RAS de Hong-Kong,7.204,,0,1970.0
"Chine, continentale",1385.567,121.4,485073,2389.0
"Chine, Taiwan Province de",23.33,0.8,1207,2342.0
Chypre,1.141,0.05,52,1993.0
Colombie,48.321,2.4,3216,2304.0
Congo,4.448,2.1,31,2021.0
Costa Rica,4.872,0.2,164,2213.0
Côte d'Ivoire,20.316,4.6,2068,2683.0
Croatie,4.29,,3188,2239.0
Cuba,11.266,,881,2906.0
Danemark,5.619,,9120,2172.0
Djibouti,0.873,0.2,0,2376.0
Dominique,0.072,0.05,0,2351.0
Égypte,82.056,4.4,22217,3188.0
El Salvador,6.34,0.6,1032,2144.0
Émirats arabes unis,9.346,0.2,55,2718.0
Équateur,15.738,1.3,2598,1732.0
Espagne,46.927,,25083,2355.0
Estonie,1.287,0.05,976,2448.0
Eswatini,1.25,0.3,120,2063.0
États-Unis d'Amérique,320.051,,433686,2698.0
Éthiopie,94.101,21.6,22646,2005.0
Fédération de Russie,142.834,,90073,2517.0
Fidji,0.881,0.05,5,2429.0
Finlande,5.426,,4065,2053.0
France,64.291,,67469,2299.0
Gabon,1.672,0.2,46,2413.0
Gambie,1.849,0.2,204,2457.0
Géorgie,4.341,0.3,488,2401.0
Ghana,25.905,1.6,2556,2874.0
Grèce,11.128,,4818,2593.0
Grenade,0.106,,0,1864.0
Guatemala,15.468,2.6,1798,2161.0
Guinée,11.745,2.1,2748,2448.0
Guinée-Bissau,1.704,0.5,194,2120.0
Guyana,0.8,0.05,553,2292.0
Haïti,10.317,5.4,557,1935.0
Honduras,8.096,1.2,673,2277.0
Hongrie,9.955,,13607,2149.0
Îles Salomon,0.561,0.05,3,2187.0
Inde,1252.14,194.4,240926,2219.0
Indonésie,249.866,22.0,66056,2594.0
Iran (République islamique d'),77.447,4.0,15612,2784.0
Iraq,33.765,11.1,6350,2376.0
Irlande,4.627,,2403,2598.0
Israël,7.733,,310,2793.0
Italie,60.99,,17738,2677.0
Jamaïque,2.784,0.2,3,2230.0
Japon,127.144,,8204,2181.0
Jordanie,7.274,1.2,103,2747.0
Kazakhstan,16.441,,18041,2330.0
Kenya,44.354,14.6,4259,1929.0
Kirghizistan,5.548,0.4,1718,2200.0
Koweït,3.369,0.1,22,2794.0
Lesotho,2.074,0.3,120,2364.0
Lettonie,2.05,,1949,2266.0
Liban,4.822,0.7,179,2633.0
Libéria,4.294,1.8,180,2105.0
Lituanie,3.017,,4475,2432.0
Luxembourg,0.53,,173,2366.0
Macédoine du Nord,2.107,0.05,553,2396.0
Madagascar,22.925,11.4,2795,1907.0
Malaisie,29.717,0.8,1823,2378.0
Malawi,16.363,3.3,3850,2225.0
Maldives,0.345,0.05,0,1913.0
Mali,15.302,1.2,4999,2520.0
Malte,0.429,,12,2447.0
Maroc,33.008,1.2,9862,3071.0
Maurice,1.244,0.05,1,2613.0
Mauritanie,3.89,0.5,244,2384.0
Mexique,122.332,4.7,33150,2441.0
Mongolie,2.839,0.4,386,1679.0
Monténégro,0.621,,8,2368.0
Mozambique,25.834,8.3,2122,2179.0
Myanmar,53.259,5.7,21489,2145.0
Namibie,2.303,0.7,87,1877.0
Népal,27.797,2.5,7081,2465.0
Nicaragua,6.08,1.1,886,2313.0
Niger,17.831,3.6,4270,2344.0
Nigéria,173.615,25.6,25405,2596.0
Norvège,5.043,,965,2381.0
Nouvelle-Calédonie,0.256,0.05,4,2062.0
Nouvelle-Zélande,4.506,,1107,2151.0
Oman,3.632,0.3,48,2497.0
Ouganda,37.579,17.6,3440,1943.0
Ouzbékistan,28.934,2.0,7592,2251.0
Pakistan,182.143,40.0,36012,1907.0
Panama,3.864,0.4,329,2147.0
